"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:1990266","GO:1990266","neutrophil migration",81,0.655890727087873,2.0460940258483,2.80663583518799e-07,9.39139558409576e-06,7.20780411281435e-06,1547,"tags=33%, list=10%, signal=30%","4283/3627/6280/6279/1236/1800/56833/5880/101/9750/972/3553/6348/7409/3071/4615/2207/728/4192/3689/5294/255231/5293/6850/54210/7060/120425"
"GO:0002367","GO:0002367","cytokine production involved in immune response",107,0.626154644056355,2.03131295216233,2.83941180714535e-07,9.39139558409576e-06,7.20780411281435e-06,2132,"tags=39%, list=13%, signal=34%","441168/924/8140/91543/11006/54440/3718/10859/50943/7805/3134/6504/10225/684/10666/972/3553/51284/6398/4615/3105/30009/3663/2207/8482/567/64170/7186/729230/6850/7133/7292/4282/64581/695/7040/7042/79065/23586/148022/9261/163486"
"GO:0002718","GO:0002718","regulation of cytokine production involved in immune response",107,0.626154644056355,2.03131295216233,2.83941180714535e-07,9.39139558409576e-06,7.20780411281435e-06,2132,"tags=39%, list=13%, signal=34%","441168/924/8140/91543/11006/54440/3718/10859/50943/7805/3134/6504/10225/684/10666/972/3553/51284/6398/4615/3105/30009/3663/2207/8482/567/64170/7186/729230/6850/7133/7292/4282/64581/695/7040/7042/79065/23586/148022/9261/163486"
"GO:0070664","GO:0070664","negative regulation of leukocyte proliferation",82,0.661743320958709,2.0719180151486,2.85784034234091e-07,9.39802439015787e-06,7.21289165653132e-06,1823,"tags=41%, list=11%, signal=37%","6664/1029/26279/259307/11006/10859/1493/50943/7805/941/6693/3123/9750/5777/3559/3965/942/951/7305/84868/11314/4067/3635/7128/83593/10385/7940/10288/695/7040/5585/2213/6522/8379"
"GO:0044057","GO:0044057","regulation of system process",412,-0.43577791477946,-1.69881556933883,2.93665850298207e-07,9.6020342594648e-06,7.36946723274659e-06,1855,"tags=23%, list=11%, signal=21%","10391/3759/153396/57731/8898/351/2316/283383/56288/85358/1408/1909/57616/9475/55328/221476/781/54206/4089/783/408/120/30845/112755/552/7067/257194/2309/5733/50944/5071/5728/2621/10497/2260/8996/5243/3488/5997/79068/143872/1959/7168/8912/624/7068/10335/7220/5592/6833/26022/3572/4660/9722/10810/6329/3680/9472/6910/3673/482/65266/4881/358/6330/3479/1910/6327/8864/32/9096/114907/5350/287/185/3736/58494/406937/6285/2946/57158/10398/22871/3815/857/9464/84417/79987/27129/1756/5649/1264/8913/2255/6663/477"
"GO:0044772","GO:0044772","mitotic cell cycle phase transition",390,0.450910781741684,1.7078311253362,3.18304489964162e-07,1.03485130203121e-05,7.94238236920145e-06,2096,"tags=23%, list=13%, signal=20%","1029/6241/993/9088/332/1869/128239/3624/11065/57082/990/63967/83903/991/10403/10460/10309/9700/1063/9319/51514/340152/2305/6491/701/55143/9928/2146/699/9212/899/8317/5347/5777/983/4582/586/891/9133/29933/11130/1164/994/51339/1030/9787/54443/1978/1871/10459/348654/27338/64859/5933/5721/641/55743/1104/10385/6929/1785/6790/9735/10263/8110/1032/60672/7164/5426/55920/7040/1017/672/8379/8525/84687/3619/6597/11200/11040/890/55159/51529/84967/9184/90381/23560/54908"
"GO:0044770","GO:0044770","cell cycle phase transition",488,0.430229817961684,1.66085070057442,3.2680021153857e-07,1.05646938442017e-05,8.10829903383237e-06,2096,"tags=22%, list=13%, signal=20%","1029/6241/993/9088/332/1869/128239/3624/11065/57082/990/63967/83903/991/10403/10460/10309/9700/1063/9319/51514/340152/2305/26270/6491/5788/701/55143/9928/2146/699/83666/9212/899/8317/8914/5347/5777/3014/983/4582/586/146956/891/83990/9133/29933/151636/11130/1164/994/51339/1030/9787/2177/54443/1978/81620/1871/10459/348654/27338/1020/4067/64859/5933/5721/641/55743/1104/10385/6929/1785/675/6790/9735/92002/10263/8110/1032/25896/60672/7164/5426/22809/79968/55920/7040/1017/672/8379/8525/84687/3619/6597/11200/11040/890/9555/55159/51529/9675/84967/9184/90381/23560/54908"
"GO:0002218","GO:0002218","activation of innate immune response",307,0.475753256573129,1.75169129168978,3.31190951342128e-07,1.06464866493239e-05,8.17107421052252e-06,2439,"tags=27%, list=15%, signal=23%","115352/115362/6280/6279/81030/91543/4940/8638/497189/4938/80342/149628/146722/118788/51296/9212/197358/5777/2672/3662/3659/51284/4615/9641/3663/81559/1520/115004/3665/3654/1535/142/55601/7305/84885/84868/330/11314/81622/79132/4067/9111/10212/6565/26191/7128/4034/3430/64135/6850/55577/7706/80772/84243/201292/7187/3824/64581/79155/695/56829/171389/10333/79792/409/57169/55666/23586/148022/3656/3055/79879/9261/80231/5872/64127/2534/54859/7124/7096/5591/5245/4210"
"GO:0043367","GO:0043367","CD4-positive, alpha-beta T cell differentiation",97,0.627678271081508,2.02341584907415,3.52249549208592e-07,1.12601783272154e-05,8.6420765615892e-06,1042,"tags=27%, list=6%, signal=25%","430/26279/114836/91543/54440/3594/3718/3561/50943/51176/941/6693/3122/3123/8651/864/9308/4063/3965/3071/942/3662/30009/8477/6775/84807"
"GO:0048738","GO:0048738","cardiac muscle tissue development",188,-0.522238361760947,-1.8970574999911,4.1148817459245e-07,1.30807518612111e-05,1.00393489146181e-05,1564,"tags=22%, list=10%, signal=20%","657/4628/1909/80000/221476/5159/4089/4090/10818/56999/28514/6444/10413/2274/2260/8324/5997/7168/60485/5592/6443/80206/9472/6910/4211/3479/9096/5350/5156/7373/8854/57158/3776/2247/7049/2263/2066/8913/4036/3084/4629"
