"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04650","Organismal Systems","Immune system","hsa04650","Natural killer cell mediated cytotoxicity","21/702","133/9376",0.157894736842105,2.10886189833558,3.66388041417156,0.000841078590844602,0.00656842328088165,0.00484832270411675,"5295/3002/7535/5777/3106/2214/3932/5551/4277/3683/3937/5880/962/3105/3383/919/399694/7462/7409/7305/2207",21
"hsa05218","Human Diseases","Cancer: specific types","hsa05218","Melanoma","14/702","73/9376",0.191780821917808,2.561448698435,3.80997499108577,0.000893694041209865,0.00681701501201943,0.00503181467511062,"2255/1029/5295/1869/80310/2247/5156/1870/3480/578/5154/1956/3479/1871",14
"hsa04670","Organismal Systems","Immune system","hsa04670","Leukocyte transendothelial migration","19/702","116/9376",0.163793103448276,2.18764122212398,3.66145119691778,0.000930648585966014,0.0069375621862921,0.00512079365483692,"4318/5295/5010/3702/58494/7852/3683/1366/5880/1536/50848/10398/3383/10411/1535/6387/83700/7409/3676",19
"hsa04015","Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway","29/702","212/9376",0.136792452830189,1.82701714777186,3.46484961838313,0.0010954234017768,0.00798441946183981,0.00589350602125531,"2263/2255/5295/3815/80310/2247/5156/2533/23236/3683/3937/3480/1902/5880/51378/8631/57568/57121/10411/111/9863/2357/5154/1956/3479/1945/113/115/7409",29
"hsa04062","Organismal Systems","Immune system","hsa04062","Chemokine signaling pathway","27/702","193/9376",0.139896373056995,1.8684734954165,3.4680665014108,0.00114431880324243,0.00815949059703296,0.0060227305433812,"4283/6352/6772/3627/2833/5295/6362/3718/1234/3702/23236/7852/1236/9560/5880/6351/1794/1233/111/6376/2786/6349/6387/399694/113/115/7409",27
"hsa00350","Metabolism","Amino acid metabolism","hsa00350","Tyrosine metabolism","9/702","37/9376",0.243243243243243,3.24878724878725,3.89891286754735,0.00129803745415559,0.00905864436091563,0.00668641913674774,"4129/259307/125/4128/8639/316/130/127/124",9
"hsa04630","Environmental Information Processing","Signal transduction","hsa04630","JAK-STAT signaling pathway","24/702","168/9376",0.142857142857143,1.90801790801791,3.37839857096779,0.00157944909157881,0.0106120643719654,0.00783303852872924,"50615/3977/6772/3560/2273/5295/3718/5156/3594/3575/5777/3572/10379/11009/3953/3561/8651/316/3587/3559/5154/1956/4609/6775",24
"hsa04072","Environmental Information Processing","Signal transduction","hsa04072","Phospholipase D signaling pathway","22/702","149/9376",0.147651006711409,1.97204535459569,3.40246673858459,0.00158533888483629,0.0106120643719654,0.00783303852872924,"5295/3815/80310/5156/23236/5337/1902/183/8611/9267/8613/57121/10411/111/27128/5154/185/1956/399694/113/115/2207",22
"hsa05215","Human Diseases","Cancer: specific types","hsa05215","Prostate cancer","17/702","106/9376",0.160377358490566,2.14202010428426,3.36380878366818,0.00214264756419768,0.0140557680211368,0.010374925047694,"2263/4318/5295/1869/80310/5156/1870/51176/6934/3480/5327/5154/1956/3479/5328/9586/1871",17
"hsa04512","Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","15/702","89/9376",0.168539325842697,2.25103236339191,3.37341918639698,0.00233011664931394,0.0149858482544112,0.011061441266093,"7148/6696/5649/1288/3680/131873/3908/3673/8515/1311/3679/3655/284217/158326/3676",15
"hsa05410","Human Diseases","Cardiovascular disease","hsa05410","Hypertrophic cardiomyopathy","16/702","99/9376",0.161616161616162,2.15856571412127,3.29669657167042,0.00263812641582045,0.0166404896997905,0.0122827748105001,"1756/8082/7169/3680/489/183/3908/3673/8515/8910/3679/3655/284217/3479/6443/3676",16
"hsa00260","Metabolism","Amino acid metabolism","hsa00260","Glycine, serine and threonine metabolism","9/702","41/9376",0.219512195121951,2.93183239524703,3.5265390492118,0.00279249034287818,0.0171055618726708,0.0126260565812397,"4129/4128/10993/113675/875/8639/2593/2628/501",9
"hsa04060","Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","36/702","298/9376",0.120805369127517,1.61349165376011,3.06172504632813,0.00281615957659824,0.0171055618726708,0.0126260565812397,"50615/4283/3977/6352/3627/3560/2833/9235/6362/1234/3594/284340/3575/3624/3604/3572/4050/7852/11009/1236/9560/3953/115650/920/3561/3587/6351/84957/1233/3559/6376/7293/6349/6387/90865/60401",36
"hsa05171","Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease - COVID-19","30/702","238/9376",0.126050420168067,1.68354521295698,3.03860769418315,0.00327777503457739,0.0195474583880251,0.0144284834057952,"6772/3627/4940/1675/5295/4939/9636/4938/3572/5648/10379/9641/1536/3654/714/6228/103/4615/4599/713/712/629/185/1956/115004/728/2212/3725/51284/733",30
"hsa05145","Human Diseases","Infectious disease: parasitic","hsa05145","Toxoplasmosis","17/702","112/9376",0.151785714285714,2.02726902726903,3.11127513096195,0.00387464609824117,0.0224331361068914,0.0165584765872434,"6772/3123/3111/1234/3113/3122/4261/3115/8651/3908/3587/3654/4615/3655/284217/3109/330",17
"hsa05214","Human Diseases","Cancer: specific types","hsa05214","Glioma","13/702","76/9376",0.171052631578947,2.28460038986355,3.19873201234992,0.00389844133564882,0.0224331361068914,0.0165584765872434,"1029/5295/1869/5156/1870/3480/814/578/5154/1956/399694/3479/1871",13
"hsa05034","Human Diseases","Substance dependence","hsa05034","Alcoholism","25/702","191/9376",0.130890052356021,1.74818394713683,2.97187113975404,0.00425733541268066,0.0237513229551771,0.0175314643122296,"4915/4129/4128/8354/8357/440689/814/3014/8332/8970/8368/8340/111/8969/8352/2786/8968/8335/8348/399694/8356/8343/8345/9586/8358",25
"hsa05152","Human Diseases","Infectious disease: bacterial","hsa05152","Tuberculosis","24/702","181/9376",0.132596685082873,1.77097794777353,2.97954440443299,0.00427234162913247,0.0237513229551771,0.0175314643122296,"6772/22925/3123/3111/2209/3113/3687/3122/2214/4261/11151/5993/1520/972/3115/3587/3654/4615/533/10312/3109/2212/1509/2207",24
"hsa04360","Organismal Systems","Development and regeneration","hsa04360","Axon guidance","24/702","184/9376",0.130434782608696,1.7421033073207,2.89209634183807,0.00526567953923634,0.028785714814492,0.0212474788425326,"5295/56920/9037/5063/7852/57556/5880/6586/84628/91653/54361/4917/10398/80031/55558/91584/8633/1073/7220/219699/6387/54437/1945/7225",24
"hsa01522","Human Diseases","Drug resistance: antineoplastic","hsa01522","Endocrine resistance","15/702","99/9376",0.151515151515152,2.02365535698869,2.91280940288851,0.00656314556039302,0.0352903564558838,0.0260487226728282,"4318/1029/5295/1869/1870/3480/2099/111/1956/399694/3479/3725/113/115/1871",15
"hsa04662","Organismal Systems","Immune system","hsa04662","B cell receptor signaling pathway","14/702","91/9376",0.153846153846154,2.05478851632698,2.87633602304343,0.0074144216795692,0.0387958414718599,0.0286362116127335,"11006/5295/118788/1380/5777/930/10859/84433/4794/5880/640/3725/7409/973",14
"hsa00982","Metabolism","Xenobiotics biodegradation and metabolism","hsa00982","Drug metabolism - cytochrome P450","12/702","73/9376",0.164383561643836,2.19552745580143,2.9171177460554,0.00753641547980144,0.0387958414718599,0.0286362116127335,"4129/2946/125/4128/119391/2327/316/2949/130/127/124/2326",12
"hsa04914","Organismal Systems","Endocrine system","hsa04914","Progesterone-mediated oocyte maturation","16/702","110/9376",0.145454545454545,1.94270914270914,2.82925699980126,0.00756992028719217,0.0387958414718599,0.0286362116127335,"9088/5241/5295/993/3480/994/5347/10459/111/699/6793/3479/9133/891/113/115",16
"hsa05310","Human Diseases","Immune disease","hsa05310","Asthma","7/702","32/9376",0.21875,2.92165242165242,3.09761827026318,0.00825545172155307,0.0416582794564524,0.0307490509466754,"3123/3111/3113/3122/3115/3109/2207",7
"hsa05170","Human Diseases","Infectious disease: viral","hsa05170","Human immunodeficiency virus 1 infection","26/702","214/9376",0.121495327102804,1.6227068189685,2.62143956457269,0.00952489179964872,0.0473358259134058,0.0349397944803701,"5295/915/6890/1234/3134/3106/5063/6891/916/7852/684/5880/920/3654/3105/4615/60489/578/917/1073/919/2786/115004/9133/891/3725",26
"hsa05219","Human Diseases","Cancer: specific types","hsa05219","Bladder cancer","8/702","41/9376",0.195121951219512,2.60607324021958,2.93186925090581,0.00993124287736501,0.0484945116678755,0.035795050332514,"4318/1029/1869/1890/1870/1956/4609/1871",8
"hsa04814","Cellular Processes","Cell motility","hsa04814","Motor proteins","24/702","194/9376",0.123711340206186,1.65230416776809,2.61172147140494,0.0100537402238278,0.0484945116678755,0.035795050332514,"72/4629/11004/55083/10381/24137/7169/23046/64005/8701/7802/59/79659/3833/146909/10398/63971/57519/9928/1767/9493/547/7277/92558",24
