"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001822","GO:0001822","kidney development","49/1233","323/18860",0.151702786377709,2.32044975756982,6.33074883401267,2.93914138291382e-08,1.97662422176297e-06,1.50708902165071e-06,"FGFR2/MMP9/IRX1/STAT1/SOX11/GATA3/FGF10/GPC3/KIF26B/PDGFD/FGF2/PDGFRA/ERBB4/OSR1/LRP2/CENPF/GFRA1/EZH2/PTPRO/HS3ST3B1/ALDH1A2/ACTA2/DYNC2H1/AGT/EDNRB/DLG5/ZBTB16/TIPARP/WNT4/KLF15/PYGO2/AQP1/PKD2/ADAMTS1/CD24/DACT2/ENPEP/NID1/MME/MAGI2/IRX2/GLI3/PDGFA/AGTR1/SIX2/CD34/MYC/WNK4/SULF1",49
"GO:0002822","GO:0002822","regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","37/1233","210/18860",0.176190476190476,2.69501409647395,6.53273753477297,2.9609643073541e-08,1.97662422176297e-06,1.50708902165071e-06,"CD7/LILRB4/GATA3/IL4I1/SASH3/ASCL2/HLA-DRB1/CR2/JAK3/PTPRC/IL12RB1/FCGR1A/RSAD2/IL7R/HLA-F/PTPN6/HLA-B/FOXP3/HLA-DRA/LILRB1/TAP2/NCKAP1L/CD4/SLAMF1/HLA-H/CD80/SPN/PDCD1/CYRIB/MAD2L2/HLA-A/PRKCQ/LGALS9/CD226/SECTM1/IL33/FCER1G",37
"GO:0007094","GO:0007094","mitotic spindle assembly checkpoint signaling","16/1233","48/18860",0.333333333333333,5.09867531765342,7.51966193725505,3.09979575205551e-08,1.99626846432375e-06,1.52206689249537e-06,"KNL1/BIRC5/CENPF/HASPIN/PLK1/CDC20/TRIP13/MAD2L2/BUB1B/BUB1/CDCA8/NDC80/AURKB/GEN1/DUSP1/CCNB1",16
"GO:0071173","GO:0071173","spindle assembly checkpoint signaling","16/1233","48/18860",0.333333333333333,5.09867531765342,7.51966193725505,3.09979575205551e-08,1.99626846432375e-06,1.52206689249537e-06,"KNL1/BIRC5/CENPF/HASPIN/PLK1/CDC20/TRIP13/MAD2L2/BUB1B/BUB1/CDCA8/NDC80/AURKB/GEN1/DUSP1/CCNB1",16
"GO:0071174","GO:0071174","mitotic spindle checkpoint signaling","16/1233","48/18860",0.333333333333333,5.09867531765342,7.51966193725505,3.09979575205551e-08,1.99626846432375e-06,1.52206689249537e-06,"KNL1/BIRC5/CENPF/HASPIN/PLK1/CDC20/TRIP13/MAD2L2/BUB1B/BUB1/CDCA8/NDC80/AURKB/GEN1/DUSP1/CCNB1",16
"GO:0072001","GO:0072001","renal system development","50/1233","334/18860",0.149700598802395,2.28982424445513,6.29020219517652,3.2920226813346e-08,2.09541071600297e-06,1.59765849834659e-06,"FGFR2/MMP9/IRX1/STAT1/SOX11/GATA3/FGF10/GPC3/KIF26B/PDGFD/FGF2/PDGFRA/ERBB4/OSR1/LRP2/CENPF/GFRA1/EZH2/PTPRO/HS3ST3B1/ALDH1A2/ACTA2/DYNC2H1/AGT/EDNRB/DLG5/TBX18/ZBTB16/TIPARP/WNT4/KLF15/PYGO2/AQP1/PKD2/ADAMTS1/CD24/DACT2/ENPEP/NID1/MME/MAGI2/IRX2/GLI3/PDGFA/AGTR1/SIX2/CD34/MYC/WNK4/SULF1",50
"GO:0002286","GO:0002286","T cell activation involved in immune response","29/1233","142/18860",0.204225352112676,3.12383628616794,6.71872945460547,3.33816979909148e-08,2.10036108968124e-06,1.60143294051999e-06,"GATA3/PIK3R1/ASCL2/HLA-DRB1/JAK3/IL12RB1/SLAMF6/FOXP3/HLA-DRA/IL6ST/LILRB1/ITGAL/LEF1/NCKAP1L/CD74/TMEM98/CD80/SPN/LCP1/SEMA6D/ICAM1/LGALS9/CD86/IRF4/HLA-DMB/LY9/TYROBP/FCER1G/STAT4",29
"GO:0002699","GO:0002699","positive regulation of immune effector process","44/1233","276/18860",0.159420289855072,2.43849689105164,6.36715667463843,3.39936428045555e-08,2.11455909900156e-06,1.61225829808687e-06,"CD7/GATA3/LAPTM5/SASH3/KIT/HLA-DRB1/PTPRC/IL12RB1/FCGR1A/RSAD2/SLAMF6/HLA-F/PTPN6/HLA-B/FOXP3/HLA-DRA/LILRB1/TAP2/IRF5/CD74/IL2RG/SLAMF1/HLA-H/CD80/CYRIB/MAD2L2/FER/HLA-A/MYD88/LGALS9/CD86/CD226/DDX60/SECTM1/TNFRSF4/LAG3/IL33/HLA-DMB/TLR7/CD37/VAV1/TYROBP/FCER1G/CD300A",44
"GO:0010965","GO:0010965","regulation of mitotic sister chromatid separation","18/1233","61/18860",0.295081967213115,4.51358142874237,7.26941115062206,3.72873526399473e-08,2.29338166686597e-06,1.74860264006376e-06,"KNL1/BIRC5/CENPF/HASPIN/UBE2C/PLK1/CDC20/ESPL1/TRIP13/MAD2L2/BUB1B/BUB1/CDCA8/NDC80/AURKB/GEN1/DUSP1/CCNB1",18
"GO:0097553","GO:0097553","calcium ion transmembrane import into cytosol","35/1233","195/18860",0.17948717948718,2.74544055565953,6.47977666474058,4.30478046033507e-08,2.60150103739044e-06,1.98353010658098e-06,"ATP1A2/CXCL9/DMD/CXCL10/CXCR3/GSTM2/CACNA1G/RYR3/CAV1/CACNA1B/FGF2/PTPRC/CCR5/ADCYAP1R1/PTPN6/LCK/CD19/CORO1A/PLCB1/CCR7/MS4A1/P2RX5/CD4/JPH2/PKD2/ANK2/PRNP/P2RY6/CX3CL1/BAK1/TRPC1/CYBA/PLN/PLCH1/AKAP6",35
"GO:0031577","GO:0031577","spindle checkpoint signaling","16/1233","49/18860",0.326530612244898,4.99462071933396,7.4049019939083,4.3247459700864e-08,2.60150103739044e-06,1.98353010658098e-06,"KNL1/BIRC5/CENPF/HASPIN/PLK1/CDC20/TRIP13/MAD2L2/BUB1B/BUB1/CDCA8/NDC80/AURKB/GEN1/DUSP1/CCNB1",16
"GO:0042063","GO:0042063","gliogenesis","52/1233","357/18860",0.145658263305322,2.22799257578133,6.19527289156151,4.40536588194558e-08,2.62119269975762e-06,1.99854413294213e-06,"NTRK2/SOX10/PTN/SOX11/FGF10/LRP8/RELN/ID4/MATN2/E2F1/ASCL2/NTRK3/ANO1/PTPRZ1/FGF2/DAAM2/PRX/IL6ST/GPR17/LRP2/CXCR4/AREG/EZH2/GPM6B/LEF1/LPAR1/CSK/LEPR/ROR1/TMEM98/DLG5/PLP1/PLPP3/WASF3/LAMA2/KLF15/MYD88/S100B/GLI3/CX3CL1/CDH2/IDH2/C1QA/S100A9/PTPRB/NFIB/LGI4/IGF1/S100A8/IL33/C5AR1/ATP1B2",52
"GO:0002707","GO:0002707","negative regulation of lymphocyte mediated immunity","19/1233","69/18860",0.27536231884058,4.21194917545282,7.06919448478734,5.42530822122456e-08,3.19334808634228e-06,2.43478744732941e-06,"LILRB4/IL4I1/TIGIT/CR2/PTPRC/IL7R/HLA-F/PTPN6/HLA-B/FOXP3/LILRB1/NCKAP1L/SLAMF1/CD96/CD80/SPN/PDCD1/HLA-A/LGALS9",19
"GO:1905818","GO:1905818","regulation of chromosome separation","20/1233","76/18860",0.263157894736842,4.02526998762112,6.98921759590007,5.61039820922137e-08,3.26716168056147e-06,2.49106706602046e-06,"KNL1/BIRC5/CENPF/HASPIN/UBE2C/PLK1/CDC20/ESPL1/TRIP13/MAD2L2/BUB1B/NCAPH/BUB1/CDCA8/SMC4/NDC80/AURKB/GEN1/DUSP1/CCNB1",20
